Transaction Name,Transaction Name URL,Organization Industries,Lead Investors,Investor Names,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Type,Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Name,Organization Name URL,Organization Location,Organization Description,Organization Website,Funding Stage,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Funding Status,Number of Investors
Pre Seed Round - Amuzed,https://www.crunchbase.com/funding_round/amuzed-pre-seed--649d9de1,"Information Technology, Music",,w3.fund,,,,Pre-Seed,2022-01-31,,,,Amuzed,https://www.crunchbase.com/organization/amuzed,"Berlin, Berlin, Germany, Europe",Amuzed is an NFT-based game and marketplace for music artist collectibles.,https://www.amuzed.io/,Seed,2,,,,Yes,Seed,1
Pre Seed Round - Pethotel,https://www.crunchbase.com/funding_round/pethotel-pre-seed--57f602ec,"Pet, Veterinary, Wellness",,,100000,EUR,104577,Pre-Seed,2022-06-15,,,,Pethotel,https://www.crunchbase.com/organization/pethotel,"Helsinki, Southern Finland, Finland, Europe",Pethotel is a Marketplace for pet sitting. Pets can find suitable care provider & Pet lovers can spent time with pets without owning them.,https://pethotel.io,Seed,5,370000,EUR,399727,Yes,Seed,
Pre Seed Round - Comparables.ai,https://www.crunchbase.com/funding_round/comparables-ai-pre-seed--6063ea72,"Artificial Intelligence (AI), Finance, FinTech, Machine Learning, Market Research",,,700000,USD,700000,Pre-Seed,2022-01-26,,,,Comparables.ai,https://www.crunchbase.com/organization/comparables-ai,"Helsinki, Southern Finland, Finland, Europe",Comparables.ai provides an AI-augmented company analysis platform for professionals to find and compare companies quickly and intelligently,https://www.comparables.ai/,Seed,1,700000,USD,700000,Yes,Seed,
Seed Round - Tomorrow University of Applied Sciences,https://www.crunchbase.com/funding_round/tomorrow-s-education-seed--b9341de9,"E-Learning, Education",,"Emerge, Mediahuis, Verena Pausder",3400000,EUR,3851862,Seed,2022-02-22,,,,Tomorrow University of Applied Sciences,https://www.crunchbase.com/organization/tomorrow-s-education,"Berlin, Berlin, Germany, Europe","Online university for sustainability, entrepreneurship, and tech. Learn from world-renowned experts.",https://tomorrow.university,Seed,3,13800000,EUR,15342792,Yes,Early Stage Venture,3
Pre Seed Round - Bling.de,https://www.crunchbase.com/funding_round/bling-services-gmbh-pre-seed--7eaa2c1e,"EdTech, Financial Services, FinTech",La Famiglia,"André Schürrle, CG Partners, La Famiglia, Verena Pausder",,,,Pre-Seed,2022-04-07,,,,Bling.de,https://www.crunchbase.com/organization/bling-services-gmbh,"Berlin, Berlin, Germany, Europe","Among Germany's fastest growing fintechs, Bling is reinventing Retail-Banking for families.",https://bling.de,Seed,3,14700000,EUR,15678810,Yes,Early Stage Venture,4
Pre Seed Round - BIOVOX,https://www.crunchbase.com/funding_round/biovox-pre-seed--36d2a32c,"Advanced Materials, Medical, Pharmaceutical, Sustainability",better ventures,"Anne Lemcke, Auxxo, better ventures, Nikolaus D. Bayer, Stefan Lemcke",,,,Pre-Seed,2022-04-20,,,,BIOVOX,https://www.crunchbase.com/organization/biovox,"Darmstadt, Hessen, Germany, Europe","BIOVOX is the sustainable healthcare market, setting the standard for bioplastic compounds made from renewable resources.",https://www.biovox.systems/,Seed,2,2200000,EUR,2460308,Yes,Seed,5
Seed Round - Milano Vice,https://www.crunchbase.com/funding_round/milano-vice-seed--0c4c0735,"Food and Beverage, Restaurants, Shipping",Coefficient Capital,"Bonial.com, CG Partners, Christian Gaiser, Coefficient Capital, David Brunier, Julius Wiesenhuetter, Nicolaus Schefenacker, Ole Strohschnieder, Shio Capital, Speedinvest, Timo Meyer",5900000,EUR,5917908,Seed,2022-07-12,,,,Milano Vice,https://www.crunchbase.com/organization/milano-vice,"Berlin, Berlin, Germany, Europe",Milano Vice is building a new virtual food brand by working with professional kitchens to prepare and deliver delicious pizzas to home.,https://www.milano-vice.de,Seed,2,14200000,EUR,15164572,Yes,Early Stage Venture,11
Seed Round - Servicelinkr Technologies,https://www.crunchbase.com/funding_round/servicelinkr-technologies-seed--59aab800,Software,,,1000000,DKK,141100,Seed,2022-06-17,6500000,DKK,917153,Servicelinkr Technologies,https://www.crunchbase.com/organization/servicelinkr-technologies,"Vejle, Syddanmark, Denmark, Europe",Servicelinkr Technologies is a cloud-based after-sales SAAS company.,https://www.servicelinkr.com,Seed,2,1500000,DKK,212083,Yes,Seed,
Seed Round - Hoting Innovations,https://www.crunchbase.com/funding_round/hoting-innovations-seed--ead051d3,"Manufacturing, Packaging Services",,Almi Invest,38000000,SEK,4032797,Seed,2022-04-04,,,,Hoting Innovations,https://www.crunchbase.com/organization/hoting-innovations,"Hoting, Jamtlands Lan, Sweden, Europe","Hoting Innovations offers an innovative production method, based on proprietary technology, for paper-based packaging.",https://hotinginnovations.com/,Seed,1,38000000,SEK,4032797,Yes,Seed,1
Seed Round - Acamp,https://www.crunchbase.com/funding_round/acamp-a429-seed--02dd90ec,"Leisure, Tourism, Travel",Spintop Ventures,"Centripetal, LRF Ventures, Spintop Ventures",2500000,EUR,2855126,Seed,2022-02-08,,,,Acamp,https://www.crunchbase.com/organization/acamp-a429,"Stockholm, Stockholms Lan, Sweden, Europe",Find and book a place to camp,http://www.acamp.com,Seed,4,2850000,EUR,3241904,Yes,Seed,3
Pre Seed Round - Beazy,https://www.crunchbase.com/funding_round/beazy-pre-seed--f476f207,"Content, Film Production, Marketplace, Photography, SaaS, Sharing Economy, Software",,Google for Startups,300000,EUR,312873,Pre-Seed,2022-07-01,,,,Beazy,https://www.crunchbase.com/organization/beazy,"Berlin, Berlin, Germany, Europe","Beazy Is A SaaS-Enabled Marketplace For Content Production. Customers include H&M, Gorillas, Bolt, Zalando, Pinterest & many more.",https://www.beazy.co,Seed,5,698000,EUR,772648,Yes,Seed,1
Pre Seed Round - Formulator - Your Mental Health Story,https://www.crunchbase.com/funding_round/formulator-your-mental-health-story-pre-seed--64f37cec,"Health Care, Mental Health, Psychology",Nina Capital,Nina Capital,900000,EUR,938619,Pre-Seed,2022-07-01,,,,Formulator - Your Mental Health Story,https://www.crunchbase.com/organization/formulator-your-mental-health-story,"Espoo, Southern Finland, Finland, Europe",Formulator is a solution for healthcare providers that improves the productivity and availability of mental health care.,https://www.formulator.fi,Seed,2,900000,EUR,938619,Yes,Seed,1
Seed Round - CibusCell,https://www.crunchbase.com/funding_round/cibuscell-seed--930896ef,"Big Data, Collaboration, Internet of Things, Machine Learning, Renewable Energy, SaaS, Software, Sustainability",,Atlantic Labs,,,,Seed,2022-05-09,,,,CibusCell,https://www.crunchbase.com/organization/cibuscell,"Speyer, Rheinland-Pfalz, Germany, Europe",CibusCell provides an open Software-as-a-Service (SaaS) platform for climate neutral energy suppliers.,https://www.cibuscell.com/,Seed,1,,,,Yes,Seed,1
Seed Round - RaceOne,https://www.crunchbase.com/funding_round/raceone-seed--c495f560,"Apps, CleanTech, Mobile",,Chalmers Ventures AB,2500000,SEK,273646,Seed,2022-01-18,,,,RaceOne,https://www.crunchbase.com/organization/raceone,"Göteborg, Vastra Gotaland, Sweden, Europe","RaceONE is the new free app for sharing and following races live - running, cykling, skiing and much more",http://www.raceone.com/,Seed,5,3097339,USD,3097339,Yes,Seed,1
Seed Round - 360 Logistics,https://www.crunchbase.com/funding_round/360-logistics-bdc3-seed--342dcb87,"E-Commerce, Logistics, Supply Chain Management",,Ferd,,,,Seed,2022-07-01,,,,360 Logistics,https://www.crunchbase.com/organization/360-logistics-bdc3,"Oslo, Oslo, Norway, Europe",360 Logistics is a total supplier of third-party logistics for online stores.,https://360logistics.no/,Seed,1,,,,Yes,Seed,1
Seed Round - Tacto,https://www.crunchbase.com/funding_round/tacto-e620-seed--43cfe078,"Artificial Intelligence (AI), Enterprise Software, Industrial, Machine Learning, Procurement, SaaS, Software",Cherry Ventures,"Cherry Ventures, Hanno Renner, Johannes Reck, Michael Wax, Torsten Reil, UVC Partners, Visionaries Club",5300000,EUR,5845567,Seed,2022-03-22,,,,Tacto,https://www.crunchbase.com/organization/tacto-e620,"Munich, Bayern, Germany, Europe","Tacto optimizes procurement, ensuring compliance, sustainability, and efficient material sourcing for mid-sized industrial firms.",https://tacto.ai,Seed,3,56300000,EUR,60854283,Yes,Early Stage Venture,7
Pre Seed Round - Fairsich,https://www.crunchbase.com/funding_round/carriot-pre-seed--6b68af43,InsurTech,,,150000,EUR,169955,Pre-Seed,2022-01-10,,,,Fairsich,https://www.crunchbase.com/organization/carriot,"Berlin, Berlin, Germany, Europe",Fairsich is a fair motor insurance solution that consists of a constant monitoring IoT device.,https://www.fairsich.de,Seed,2,167500,EUR,191349,Yes,Seed,
Seed Round - ONIQ,https://www.crunchbase.com/funding_round/oniq-seed--02045597,"Application Performance Management, Manufacturing, Predictive Analytics, SaaS, Software, Supply Chain Management",TechVision Fund,"coparion, TechVision Fund",3500000,EUR,3563291,Seed,2022-07-20,,,,ONIQ,https://www.crunchbase.com/organization/oniq,"Cologne, Nordrhein-Westfalen, Germany, Europe",Enabling next level productivity gains through digital lean manufacturing and end-to-end process transparency.,https://www.oniq.com/,Seed,2,3925000,EUR,4062413,Yes,Seed,2
Pre Seed Round - GetHalal,https://www.crunchbase.com/funding_round/gethalal-pre-seed--3557a174,"E-Commerce, Grocery, Logistics",,"Food Angels, Karim Zaghloul, Mohammad Ahmed Al Ali, Roger Hassan, Shio Capital",,,,Pre-Seed,2022-02-14,,,,GetHalal,https://www.crunchbase.com/organization/gethalal,"Berlin, Berlin, Germany, Europe","It's an Online One-Stop-Shop for all Halal groceries, Halal fresh meat, fish, vegetables and fruits for all Muslims in Europe.",https://gethalal.de,Seed,1,,,,Yes,Seed,5
Seed Round - Procuros,https://www.crunchbase.com/funding_round/procuros-seed--ade2fcf0,Software,"Creandum, Point Nine","b2venture, Creandum, David Clarke, David Nothacker, Denise Persson, Doreen Huber, Gloria Baeuerlein, Julius Koehler, Point Nine, SquareOne Venture Capital, Thijn Lamers",9000000,USD,9000000,Seed,2022-04-12,,,,Procuros,https://www.crunchbase.com/organization/procuros,"Hamburg, Hamburg, Germany, Europe",Connect Once. Integrate all trade Partners. - The new standard in B2B transactions,https://procuros.io/,Seed,3,10181895,USD,10181895,Yes,Seed,11
Pre Seed Round - Gigapay,https://www.crunchbase.com/funding_round/gigapay-ab-pre-seed--e1ee3e7a,"Content Creators, Financial Services, FinTech, Virtual Workforce",,,,,,Pre-Seed,2022-07-01,,,,Gigapay,https://www.crunchbase.com/organization/gigapay-ab,"Stockholm, Stockholms Lan, Sweden, Europe",Gigapay enables compliant payouts to creators across the globe.,https://gigapay.co,Seed,3,,,,Yes,Seed,
Pre Seed Round - Suburban Health,https://www.crunchbase.com/funding_round/suburban-health-pre-seed--e230ec29,"Health Care, Medical, Software",,"Forum Ventures, Right Side Capital Management",100000,USD,100000,Pre-Seed,2022-06-30,,,,Suburban Health,https://www.crunchbase.com/organization/suburban-health,"England, Nordrhein-Westfalen, Germany, Europe",Suburban Health is a medical software startup that was founded and is supported by frontline healthcare providers.,https://www.suburbanhealth.co.uk,Seed,1,100000,USD,100000,Yes,Seed,2
Pre Seed Round - Deep LS,https://www.crunchbase.com/funding_round/deep-ls-pre-seed--f689a16f,"Artificial Intelligence (AI), Bioinformatics, Biopharma, Biotechnology, Information Technology, Pharmaceutical",,,,,,Pre-Seed,2022-01-01,,,,Deep LS,https://www.crunchbase.com/organization/deep-ls,"Limburg, Hessen, Germany, Europe","ML, AI, Drug Discovery",http://www.deep-ls.com,Seed,1,,,,Yes,Seed,
Seed Round - Droppe,https://www.crunchbase.com/funding_round/droppe-seed--65e82e70,"B2B, Marketplace, Procurement",Lifeline Ventures,"Ilkka Paananen, Illusian Founder Office, Lifeline Ventures, Miki Kuusi",2200000,EUR,2485952,Seed,2022-02-02,,,,Droppe,https://www.crunchbase.com/organization/droppe,"Helsinki, Southern Finland, Finland, Europe",B2B Platform to source and order supplies for operations.,https://droppe.com/,Seed,2,6100000,EUR,6669083,Yes,Seed,4
Pre Seed Round - What The Food,https://www.crunchbase.com/funding_round/what-the-food-216c-pre-seed--adba8cf9,Food and Beverage,,,1000000,EUR,1122939,Pre-Seed,2022-01-31,,,,What The Food,https://www.crunchbase.com/organization/what-the-food-216c,"Berlin, Berlin, Germany, Europe",What The Food creates healthy and tasty alternatives to the food we all love.,https://www.whatthefood.company,Seed,1,1000000,EUR,1122939,Yes,Seed,
Pre Seed Round - Edisen,https://www.crunchbase.com/funding_round/signal-intent-pre-seed--d62b8a86,"Advertising, Media and Entertainment, Social Media",,"Anil D. Aggarwal, Converge, Fin Capital, ICBA ThinkTECH Accelerator 2.0",,,,Pre-Seed,2022-01-12,,,,Edisen,https://www.crunchbase.com/organization/signal-intent,"Stockholm, Stockholms Lan, Sweden, Europe",Edisen is a creative production agency.,https://www.edisen.com,Seed,1,,,,Yes,Seed,4
Pre Seed Round - Kassio,https://www.crunchbase.com/funding_round/kassio-pre-seed--1b741936,"Blockchain, Cryptocurrency, FinTech",Aalto Capital,Aalto Capital,1600000,USD,1600000,Pre-Seed,2022-04-06,,,,Kassio,https://www.crunchbase.com/organization/kassio,"Copenhagen, Hovedstaden, Denmark, Europe","Kassio- a unified crypto solution for all crypto financial needs. Earn, Borrow, Trade or utilize your crypto with Kassio.",https://kassio.com,Seed,1,1600000,USD,1600000,Yes,Seed,1
Seed Round - Presail,https://www.crunchbase.com/funding_round/presail-seed--1b7c3b35,"Blockchain, FinTech, Software",Skyfall Ventures,"Abid Ali Teepo, Aleksander Leonard Larsen, Avlok Kohli, Einar Braathen, Global Founders Capital, Henrik Hatlebrekke, Kjetil Holmefjord, Kraken Ventures, Philippe Klintefelt Collet, Shawn Xu, Skyfall Ventures, Thuc Tuan Hoang, Trevor McFedries, Weekend Fund",1600000,USD,1600000,Seed,2022-03-02,,,,Presail,https://www.crunchbase.com/organization/presail,"Oslo, Oslo, Norway, Europe","Presail is a software and web service for simpler and more secure to contribute, distribute and manage sale deals.",https://presail.com/,Seed,2,5411480,USD,5411480,Yes,Seed,14
Seed Round - Freesi,https://www.crunchbase.com/funding_round/freesi-seed--bf22c759,"Property Management, Software",Helen Ventures,"Curiosity VC, Helen Ventures",1700000,EUR,1796023,Seed,2022-06-22,,,,Freesi,https://www.crunchbase.com/organization/freesi,"Espoo, Southern Finland, Finland, Europe","Indoor air quality and indoor climate monitoring, analysis and optimisation solution provider",https://freesi.io,Seed,3,3100000,EUR,3445055,Yes,,2
Pre Seed Round - SMENA Catalysis,https://www.crunchbase.com/funding_round/smena-catalysis-ab-pre-seed--c6816be1,"GreenTech, Nanotechnology, Product Research, Sustainability",Chalmers Ventures AB,Chalmers Ventures AB,300000,SEK,30403,Pre-Seed,2022-05-03,,,,SMENA Catalysis,https://www.crunchbase.com/organization/smena-catalysis-ab,"Gothenburg, Vastra Gotaland, Sweden, Europe",SMENA Catalysis is a nanotechnology company that fabricates nano-structured layered materials.,http://www.smena-tech.com,Seed,2,350000,SEK,36180,Yes,Seed,1
Seed Round - Deep Care,https://www.crunchbase.com/funding_round/deep-care-seed--ffc77b97,"Artificial Intelligence (AI), Intelligent Systems, Office Administration",,"Christian Thorborg, ES KAPITAL, S-Kap Unternehmensbeteiligungs",,,,Seed,2022-03-18,,,,Deep Care,https://www.crunchbase.com/organization/deep-care,"Ludwigsburg-eglosheim, Baden-Wurttemberg, Germany, Europe",Deep Care is a seat behavior assistant that offers sitting behavior for office workers.,https://deep-care.de/,Seed,2,,,,Yes,Seed,3
Pre Seed Round - oculai,https://www.crunchbase.com/funding_round/oculai-pre-seed--be0e4e71,"Computer Vision, Construction, Data Collection and Labeling, Information Technology, Machine Learning, SaaS",,,,,,Pre-Seed,2022-02-07,,,,oculai,https://www.crunchbase.com/organization/oculai,"Munich, Bayern, Germany, Europe",Oculai is a SaaS solution for camera-based data collection on construction sites using intelligent computer vision algorithms.,https://oculai.de,Seed,2,2500000,EUR,2681675,Yes,Seed,
Seed Round - Knips,https://www.crunchbase.com/funding_round/knips-seed--328b8009,"Email Marketing, Lead Generation, Lead Management, Mobile Apps",,,1700000,USD,1700000,Seed,2022-04-02,,,,Knips,https://www.crunchbase.com/organization/knips,"Oslo, Oslo, Norway, Europe",Knips is a modern newsletter for SMBs to build stronger relationships.,https://no.knips.app,Seed,2,2200000,USD,2200000,Yes,Seed,
Seed Round - Xiphera,https://www.crunchbase.com/funding_round/xiphera-seed--8f43978a,"Information Technology, Network Security",Gorilla Capital,"Gorilla Capital, H9i Partners, Korpun Siemen, Ääkköset Oy",480000,EUR,501403,Seed,2022-06-29,,,,Xiphera,https://www.crunchbase.com/organization/xiphera,"Espoo, Southern Finland, Finland, Europe",Xiphera designs and licenses hardware-based security solutions using proven cryptographic algorithms.,https://xiphera.com/,Seed,2,480000,EUR,501403,Yes,Seed,4
Seed Round - UNOWN,https://www.crunchbase.com/funding_round/unown-seed--f20e8b8e,"Fashion, Internet, Leasing, Rental, SaaS, Sharing Economy, Social Impact, Subscription Service",Übermorgen Ventures,"APX, Loïc Brunschwig, Nicolas Brunschwig, Vealo Ventures, Übermorgen Ventures",2000000,EUR,2102388,Seed,2022-05-11,,,,UNOWN,https://www.crunchbase.com/organization/unown,"Hamburg, Hamburg, Germany, Europe","UNOWN is circularity meets embedded commerce. As B2B SaaS, we integrate rental, resale and try-before-buy into (fashion) commerce.",https://www.unown-fashion.com,Seed,3,3166420,USD,3166420,Yes,Seed,5
Pre Seed Round - Sloyd,https://www.crunchbase.com/funding_round/sloyd-pre-seed--284fbd53,"3D Technology, Machine Learning, Video Games",Skyfall Ventures,"fresh.fund, Overwolf, Skyfall Ventures",760000,USD,760000,Pre-Seed,2022-01-26,,,,Sloyd,https://www.crunchbase.com/organization/sloyd,"Oslo, Oslo, Norway, Europe",Sloyd is enabling creators to make 3D assets really fast and really easy.,https://sloyd.ai,Seed,4,6064336,USD,6064336,Yes,Seed,3
Pre Seed Round - Moojo,https://www.crunchbase.com/funding_round/moojo-f895-pre-seed--da1f40c2,"Financial Services, FinTech, Freelance",,"APX, b2venture, Helvetia Venture Fund, MS&AD Ventures, neoteq ventures, Red Swan Ventures",2000000,USD,2000000,Pre-Seed,2022-04-22,,,,Moojo,https://www.crunchbase.com/organization/moojo-f895,"Berlin, Berlin, Germany, Europe",Moojo helps freelancers and creators streamline their invoicing process and get paid instantly.,https://getmoojo.com,Seed,1,2000000,USD,2000000,Yes,Seed,6
Seed Round - Melt&Marble,https://www.crunchbase.com/funding_round/melt-marble-seed--e551869b,Food Processing,Lever VC,"Be8 Ventures, Chalmers Ventures AB, Good Startup, Lever VC, Nordic Foodtech VC, Paulig",5000000,EUR,5269837,Seed,2022-05-05,,,,Melt&Marble,https://www.crunchbase.com/organization/melt-marble,"Göteborg, Vastra Gotaland, Sweden, Europe","Melt&Marble, formerly known as Biopetrolia, was founded patent holding firm for co-founder Professor Jens Nielsen’s research group.",https://meltandmarble.com/technology/,Seed,4,10028711,USD,10028711,Yes,Seed,6
Seed Round - Organic Garden,https://www.crunchbase.com/funding_round/organic-garden-seed--9a54ddac,"Food and Beverage, Food Processing, Organic Food",,Mario Gomez,,,,Seed,2022-05-12,,,,Organic Garden,https://www.crunchbase.com/organization/organic-garden,"Ingolstadt, Bayern, Germany, Europe",Organic Garden is a food-tech startup that strives for a healthy future.,https://www.organicgarden.de/,Seed,2,,,,Yes,Seed,1
Seed Round - Envoria,https://www.crunchbase.com/funding_round/envoria-seed--513309b4,"Enterprise Software, GreenTech, SaaS, Software",Brandenburg Kapital,"Bavarian Sustainable Capital, Brandenburg Kapital, fino ventures",,,,Seed,2022-06-29,,,,Envoria,https://www.crunchbase.com/organization/envoria,"Munich, Bayern, Germany, Europe","Helping companies manage ESG reporting with our all-in-one software covering GRI, CSRD, ESRS, EU Taxonomy, CCF, CSDD, LkSG, and more",https://envoria.com,Seed,1,,,,Yes,Seed,3
Seed Round - VillaCircle,https://www.crunchbase.com/funding_round/villacircle-seed--cea2400f,"Property Management, PropTech, Real Estate, Real Estate Investment",,JVH Ventures,,,,Seed,2022-06-24,,,,VillaCircle,https://www.crunchbase.com/organization/villacircle,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",VillaCircle is a proptech company that enables the co-ownership of holiday properties.,https://villacircle.com,Seed,3,,,,Yes,M&A,1
Pre Seed Round - Staex,https://www.crunchbase.com/funding_round/staex-pre-seed--4da6a720,"Blockchain, Electric Vehicle, Internet of Things, IT Infrastructure, Robotics, Smart Cities, Software",Brandenburg Kapital,"Blockwall, Brandenburg Kapital",1650000,EUR,1786310,Pre-Seed,2022-04-12,,,,Staex,https://www.crunchbase.com/organization/staex,"Potsdam, Brandenburg, Germany, Europe",Staex is a software platform that provides a unique bridge between the IoT industry and Web 3.0.,https://staex.io/,Seed,3,1650000,EUR,1786310,Yes,Seed,2
Seed Round - Additive Marking,https://www.crunchbase.com/funding_round/additive-marking-seed--d85a912f,"SaaS, Software",,BÖLLHOFF,,,,Seed,2022-03-31,,,,Additive Marking,https://www.crunchbase.com/organization/additive-marking,"Paderborn, Nordrhein-Westfalen, Germany, Europe","B2B, SaaS, Subscription, Deep Tech, 3D technology, Additive Manufacturing",https://additive-marking.de,Seed,2,,,,Yes,Seed,1
Pre Seed Round - Baase AB,https://www.crunchbase.com/funding_round/baase-ab-pre-seed--5c51986d,Financial Services,Singularity,"Murshid M. Ali, Singularity",,,,Pre-Seed,2022-02-10,,,,Baase AB,https://www.crunchbase.com/organization/baase-ab,"Stockholm, Stockholms Lan, Sweden, Europe",Baase AB is a banking-as-a-service provider linking Banks and Brands together.,https://baase.com,Seed,1,,,,Yes,Seed,2
Pre Seed Round - Chassis Autonomy,https://www.crunchbase.com/funding_round/chassis-autonomy-pre-seed--7312fb4f,"Automotive, Manufacturing",Immetric,Immetric,,,,Pre-Seed,2022-04-14,,,,Chassis Autonomy,https://www.crunchbase.com/organization/chassis-autonomy,"Trollhättan, Vastra Gotaland, Sweden, Europe",Chassis Autonomy enables autonomous mobility through actuation.,https://www.chassisautonomy.com/,Seed,4,2497305,EUR,2650240,Yes,Seed,1
Pre Seed Round - Off Script,https://www.crunchbase.com/funding_round/offscript-pre-seed--2303ad5c,"E-Commerce, Fashion, Information Technology, Shopping",Watertower Ventures,Watertower Ventures,,,,Pre-Seed,2022-05-01,,,,Off Script,https://www.crunchbase.com/organization/offscript,"Stockholm, Stockholms Lan, Sweden, Europe","Off Script is the best way for creators to set up their very own e-commerce, sell products they love, and help their community.",https://offscript.io/,Seed,3,410000,USD,410000,Yes,M&A,1
Seed Round - Green Fusion,https://www.crunchbase.com/funding_round/green-fusion-seed--4690b806,"Energy Management, Software",,"BitStone Capital, High Rise Ventures, Marc Stilke, Vireo Ventures",,,,Seed,2022-02-17,,,,Green Fusion,https://www.crunchbase.com/organization/green-fusion,"Berlin, Berlin, Germany, Europe",Green Fusion develops a simple and secure software solution for more efficient control of your energy system.,https://www.green-fusion.eu/,Seed,3,2925000,EUR,3135833,Yes,Seed,4
Seed Round - Vaeridion,https://www.crunchbase.com/funding_round/vaeridion-seed--6fb7a5ee,"Air Transportation, Clean Energy, Sustainability",Vsquared Ventures,"Andreas Kupke, Project A Ventures, Vsquared Ventures",3200000,EUR,3434921,Seed,2022-05-31,,,,Vaeridion,https://www.crunchbase.com/organization/vaeridion,"Munich, Bayern, Germany, Europe",Vaeridion offers green air mobility technology and services which helps electric microliners to fly with the low energy consumption.,https://vaeridion.com/,Seed,1,3200000,EUR,3434921,Yes,Seed,3
Pre Seed Round - Coachinho,https://www.crunchbase.com/funding_round/coachinho-pre-seed--685b58b5,"Artificial Intelligence (AI), Computer Vision, E-Learning, Education, eSports, Gaming, Soccer, Sports, Video on Demand",NRW.BANK,NRW.BANK,200000,EUR,208582,Pre-Seed,2022-07-01,,,,Coachinho,https://www.crunchbase.com/organization/coachinho,"Bonn, Nordrhein-Westfalen, Germany, Europe",Our interactive Learning Game App provides digital Training with Soccer Pro's based on AI - real-time feedback based on Pros' motion data.,https://coachinho.tv,Seed,2,400000,EUR,445498,Yes,Seed,1
Seed Round - Januar,https://www.crunchbase.com/funding_round/januar-seed--b301de05,"Cryptocurrency, Financial Services, FinTech, Payments",13books Capital,"13books Capital, Angular Ventures, byFounders, Charlie Songhurst, Einar Braathen, Jørgen A. Horwitz, Nicolas Julia, Outward VC, Pierre Antoine Dusoulier",6000000,EUR,6323804,Seed,2022-05-05,,,,Januar,https://www.crunchbase.com/organization/januar,"Copenhagen, Hovedstaden, Denmark, Europe",Januar is a provider of infrastructure for cryptocurrency businesses.,https://www.januar.com,Seed,3,7500000,EUR,7947645,Yes,Seed,9
Pre Seed Round - Over Easy Solar,https://www.crunchbase.com/funding_round/over-easy-solar-pre-seed--8e143a86,Solar,Startuplab,Startuplab,,,,Pre-Seed,2022-02-13,,,,Over Easy Solar,https://www.crunchbase.com/organization/over-easy-solar,"Oslo, Oslo, Norway, Europe",Breakthrough vertical solar energy units´for flat and green roofs,https://www.overeasy.no,Seed,5,3319109,USD,3319109,Yes,Seed,1
Pre Seed Round - Arab Therapy,https://www.crunchbase.com/funding_round/arab-therapy-pre-seed--5110dca9,"Health Care, Medical, Mental Health",,,65000,USD,65000,Pre-Seed,2022-07-01,,,,Arab Therapy,https://www.crunchbase.com/organization/arab-therapy,"Berlin, Berlin, Germany, Europe",Arab Therapy operates as a mental health-focused start-up.,https://www.arabtherapy.com,Seed,5,1280000,USD,1280000,Yes,Seed,
Seed Round - Molab,https://www.crunchbase.com/funding_round/molab-seed--12298f2c,"Biotechnology, Consumer Research",,"FTTF, Picus Capital",,,,Seed,2022-05-16,,,,Molab,https://www.crunchbase.com/organization/molab,"München, Bayern, Germany, Europe",Molab is a biotechnology research company that creates precision molecules.,https://www.molab.ai/,Seed,1,,,,Yes,Seed,2
Seed Round - Climedo,https://www.crunchbase.com/funding_round/climedo-health-seed--664a65f5,"Clinical Trials, Health Care, Medical, Pharmaceutical, Software",Nauta Capital,"Nauta Capital, Prof. Dr. med. Christian Wallwiener, WestTech Ventures",5000000,EUR,5686413,Seed,2022-02-16,,,,Climedo,https://www.crunchbase.com/organization/climedo-health,"München, Bayern, Germany, Europe","The leading European eCOA system for non-interventional studies, RWE and launch success",https://www.climedo.de/en/,Seed,4,6180000,EUR,7000876,Yes,Seed,3
Pre Seed Round - Adsorbi,https://www.crunchbase.com/funding_round/adsorbi-pre-seed--1cfec3ed,"Medical, Therapeutics",Chalmers Ventures AB,Chalmers Ventures AB,275000,SEK,26870,Pre-Seed,2022-06-29,,,,Adsorbi,https://www.crunchbase.com/organization/adsorbi,"Gothenburg, Vastra Gotaland, Sweden, Europe",Adsorbi develops a novel biomaterial based on cellulose.,https://adsorbi.com/,Seed,3,443629,USD,443629,Yes,Seed,1
Pre Seed Round - Social First,https://www.crunchbase.com/funding_round/social-first-pre-seed--a15fad68,"Console Games, Gaming, MMO Games, Online Games, PC Games",Play Ventures,"Joakim Achren, Play Ventures",2500000,USD,2500000,Pre-Seed,2022-01-26,,,,Social First,https://www.crunchbase.com/organization/social-first,"Helsinki, Southern Finland, Finland, Europe",Social First is a veteran game studio that creates Social Sandbox MMO's across platforms.,https://www.socialfirstgames.com,Seed,2,6700000,USD,6700000,Yes,Seed,2
Seed Round - Energi.ai,https://www.crunchbase.com/funding_round/energi-ai-as-seed--b5c8c197,"Artificial Intelligence (AI), Machine Learning, Software",,,6300000,USD,6300000,Seed,2022-06-20,,,,Energi.ai,https://www.crunchbase.com/organization/energi-ai-as,"Fornebu, Akershus, Norway, Europe",Energi.ai is the next generation intelligent platform to enable AI climate solutions for businesses to act quickly in the race for zero.,https://www.energi.ai,Seed,2,7900000,USD,7900000,Yes,Seed,
